type	ts	dur	durz	F0	F0z	F1	F1z	F2	F2z	F3	F3z	dF0	dF0z	dF1	dF1z	dF2	dF2z	dF3	dF3z	dqF0	dqF0z	dqF1	dqF1z	dqF2	dqF2z	dqF3	dqF3z	sdF0	sdF0z	sdF1	sdF1z	sdF2	sdF2z	sdF3	sdF3z	score
?	14.995	0.119	-0.576	12.916	0.027	4.142	-0.909	11.663	-0.397	15.770	0.117	-0.586	-0.027	1.298	-0.101	1.109	0.046	0.312	-0.786	2.766	-0.027	1.065	-0.583	5.741	1.977	1.522	-0.456	1.036	-0.064	0.297	-0.696	1.828	1.712	0.461	-0.524	2.014
fp	15.138	0.232	0.459	11.455	-0.566	8.082	1.820	11.365	-0.669	15.878	0.240	0.875	0.566	2.271	1.430	1.098	0.028	0.354	-0.717	0.704	-0.541	2.775	0.343	3.558	0.744	1.446	-0.505	0.314	-0.505	0.850	0.248	1.194	0.691	0.507	-0.435	3.916
?	15.474	0.088	-0.864	13.074	0.091	5.915	0.319	11.432	-0.608	16.051	0.435	-0.743	-0.091	1.498	0.214	0.564	-0.881	0.547	-0.399	2.093	-0.195	5.561	1.851	1.432	-0.457	2.774	0.356	0.954	-0.114	1.867	1.986	0.497	-0.431	0.781	0.097	3.116
?	15.802	0.224	0.386	12.259	-0.239	4.750	-0.488	11.981	-0.106	13.073	-2.948	0.071	0.239	0.797	-0.890	0.787	-0.503	2.403	2.653	0.702	-0.542	2.192	0.027	4.856	1.477	4.205	1.284	0.243	-0.548	0.817	0.192	1.234	0.757	1.273	1.056	2.293
fp	16.386	0.200	0.165	11.793	-0.429	4.113	-0.930	12.697	0.548	16.277	0.693	0.537	0.429	1.287	-0.119	0.662	-0.714	0.483	-0.504	1.855	-0.254	0.221	-1.040	1.489	-0.424	1.814	-0.266	0.696	-0.272	0.087	-1.055	0.580	-0.297	0.609	-0.236	3.659
?	16.674	0.104	-0.717	12.438	-0.167	4.025	-0.991	13.605	1.378	15.906	0.270	-0.108	0.167	1.395	0.051	1.489	0.693	0.146	-1.057	11.148	2.064	0.390	-0.948	0.962	-0.722	0.504	-1.115	5.904	2.907	0.133	-0.977	0.375	-0.628	0.169	-1.093	2.533
?	16.986	0.072	-1.011	13.003	0.062	4.006	-1.004	10.168	-1.762	14.044	-1.844	-0.673	-0.062	1.513	0.237	1.444	0.617	1.829	1.709	3.172	0.074	3.912	0.959	2.696	0.257	4.401	1.411	1.183	0.026	1.068	0.621	0.990	0.363	1.330	1.167	1.584
?	17.202	0.104	-0.717	12.349	-0.203	5.668	0.148	13.111	0.926	16.276	0.692	-0.019	0.203	0.474	-1.398	1.262	0.306	0.370	-0.689	0.482	-0.597	1.455	-0.372	0.716	-0.861	1.125	-0.713	0.198	-0.576	0.455	-0.427	0.224	-0.871	0.322	-0.794	3.306
?	17.322	0.104	-0.717	14.917	0.839	4.419	-0.717	13.410	1.199	15.703	0.041	-2.586	-0.839	1.336	-0.042	1.477	0.672	0.439	-0.577	1.101	-0.442	4.690	1.380	1.486	-0.426	1.244	-0.636	0.758	-0.234	1.438	1.254	0.408	-0.575	0.469	-0.509	1.999
fp	17.434	0.256	0.680	9.754	-1.256	4.940	-0.356	12.780	0.624	14.633	-1.176	2.576	1.256	0.581	-1.230	0.852	-0.391	1.159	0.608	4.513	0.409	1.188	-0.516	0.726	-0.855	2.117	-0.070	1.578	0.267	0.355	-0.597	0.198	-0.913	0.626	-0.203	4.106
